prompt_injection,privacy_leakage,hallucination,unsafe_output,format_reliability,latency,bias,over_refusal,jailbreak,data_exfiltration,risk_score
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,52
1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,57
0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,32
0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,36
0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,49
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,68
0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,53
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53
0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,57
0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55
0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,23
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30
0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,55
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48
0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,31
0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,29
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,53
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62
0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,53
1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,57
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48
0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,65
0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,48
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64
0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,60
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,82
0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,13
0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,28
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26
1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,58
0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,68
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40
0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50
0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,44
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,47
0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,51
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,65
0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,61
0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,51
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,79
0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,53
1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,32
0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,48
0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,46
0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52
0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,77
1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,73
0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,38
0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75
0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5,69
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,71
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,70
0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,82
0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,27
1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41
0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,62
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52
0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38
0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38
0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,49
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66
0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,50
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,53
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52
0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,69
0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,57
1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,83
0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,66
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,86
0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.0,49
0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,27
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,43
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,62
0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,73
1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,51
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,57
0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,67
0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,68
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,64
0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,67
1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,77
0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,68
0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,68
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,77
1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,89
0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,57
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42
0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,46
0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,53
0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,43
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,56
0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,74
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,74
0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,47
0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,64
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,60
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,79
0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,68
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,75
0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,82
0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,84
0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,32
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52
0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,70
1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,77
0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,56
0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,49
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,65
1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,79
0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.5,79
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,82
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,70
0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,80
0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,75
1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,79
0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,72
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100
0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,22
0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19
0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,30
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47
0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,73
1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,48
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42
0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,51
0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,42
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,48
0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,47
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,66
0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,46
0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,53
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,61
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,91
0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,70
1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,46
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,38
0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,42
0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,43
